 D lon lat flux5 flux8 X Y Z MirX MirY MirZ TI objid r delta alpha D_model D_true model eta etafit
0 1.0 197.5728614138369 73.17998985981222 6066.0 33947.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
1 1.0 257.468171894071 49.328519885754986 6074.0 34028.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
2 1.0 216.99481538579175 -30.033872634844457 6106.0 34126.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.461 1 FRM 1.0 0
3 1.0 196.15794587888288 -75.40174980216058 6031.0 33730.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
4 1.0 152.5157277620057 -16.69658914551468 6058.0 33875.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
5 1.0 232.5218807039962 -48.19785440923031 6112.0 33796.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
6 1.0 157.5313960545693 -66.15222574356306 6086.0 34003.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
7 1.0 321.03828028154874 -80.38310727837145 6112.0 34025.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
8 1.0 346.91859378037054 40.60698555790418 6045.0 33932.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
9 1.0 138.03894677727996 -87.94305744749441 6002.0 33911.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
10 1.0 285.02101370975925 48.70453473049972 6067.0 34060.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
11 1.0 190.4021711110456 -63.549603827932486 6094.0 34104.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.461 1 FRM 1.0 0
12 1.0 204.4960419938156 -75.68602513438397 6108.0 33943.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
13 1.0 333.214789785358 -73.87145383705104 6143.0 34109.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.461 1 FRM 1.0 0
14 1.0 25.5729809512393 30.96860532370459 6156.0 34366.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.462 1 FRM 1.0 0
15 1.0 31.366547892554657 -45.83390222648794 6077.0 33927.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
16 1.0 7.278623078517259 -14.302895997582285 5972.0 33507.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.458 1 FRM 1.0 0
17 1.0 299.74314439725765 10.326382438305046 6018.0 33721.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
18 1.0 280.13643034194615 64.89921128918289 6065.0 33687.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.458 1 FRM 1.0 0
19 1.0 313.2043733688549 40.8679672880391 6035.0 33711.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
20 1.0 352.30260320379506 -41.34097705703137 6065.0 33886.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
21 1.0 287.6970831180205 -66.33309612759703 6028.0 33769.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
22 1.0 166.13257041105547 -80.03262232418437 6074.0 33973.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
23 1.0 280.99050346312396 -35.712245793430355 6037.0 33881.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
24 1.0 42.57879331281596 -42.818733136857915 6092.0 34035.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
25 1.0 230.3715676779086 -7.894697975913658 6060.0 33777.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
26 1.0 51.607183467256704 32.990640398582485 6092.0 34061.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
27 1.0 340.0808101378502 35.21258021499429 6011.0 33632.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.458 1 FRM 1.0 0
28 1.0 187.8653958300258 -38.96660761521 6069.0 33928.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
29 1.0 149.2782983965885 -21.61314793797831 6033.0 33678.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.458 1 FRM 1.0 0
30 1.0 95.24002035766571 -57.39282688735745 6170.0 34339.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.462 1 FRM 1.0 0
31 1.0 278.724128196318 51.93819221517336 6051.0 33708.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
32 1.0 164.21411959795748 -79.76734624201674 6075.0 33997.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
33 1.0 204.63622159271347 35.459503510497726 6054.0 33884.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
34 1.0 6.764328157087851 50.1651712693986 6074.0 33997.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
35 1.0 222.34877894731576 49.93336113277556 6058.0 33904.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
36 1.0 220.3544601800717 -43.303938417836115 6026.0 33774.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
37 1.0 222.0962388749125 -22.713635172138936 6169.0 34301.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.462 1 FRM 1.0 0
38 1.0 339.7493082652647 15.76793433535002 5969.0 33572.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.458 1 FRM 1.0 0
39 1.0 245.45530767725404 -40.892057563595934 6059.0 33856.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
40 1.0 129.42284420656296 -23.246496140780025 6014.0 33733.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
41 1.0 157.3315033677629 -54.530229566584865 6011.0 33721.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
42 1.0 251.14723053381536 -7.225940923918671 6117.0 34084.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
43 1.0 21.68116978653714 -81.96978577425946 6072.0 33850.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
44 1.0 240.03601756044037 53.96325922271123 6117.0 34164.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.461 1 FRM 1.0 0
45 1.0 241.4296330625374 -76.1478395424061 6060.0 33845.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
46 1.0 75.73772198658273 3.3903267896746883 6045.0 33798.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
47 1.0 46.41346715574719 -34.7741820818647 6040.0 33761.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
48 1.0 113.5542063327062 13.957730789647584 6024.0 33968.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
49 1.0 130.93587753934415 82.69800135001651 6064.0 33898.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
50 1.0 205.27083735043664 26.20264400208069 5956.0 33418.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.457 1 FRM 1.0 0
51 1.0 157.89654484643532 -83.63476156401164 6046.0 33809.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
52 1.0 355.8145817013214 -12.527560888548976 5990.0 33425.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.457 1 FRM 1.0 0
53 1.0 36.736131869290105 1.803033417285036 6081.0 33935.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
54 1.0 75.19563219414049 6.511949046621353 6013.0 33677.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.458 1 FRM 1.0 0
55 1.0 58.07142643859865 32.65065190869082 6146.0 34166.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.461 1 FRM 1.0 0
56 1.0 235.11899716754343 -40.032702408282105 6162.0 34077.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
57 1.0 91.18497691432157 -66.80509821606236 6138.0 34242.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.461 1 FRM 1.0 0
58 1.0 167.87187822827028 -19.31837822152302 6035.0 33718.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
59 1.0 87.99321312057698 82.1530301032708 6028.0 33769.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
60 1.0 57.2290501123871 -56.31643948484795 6004.0 33603.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.458 1 FRM 1.0 0
61 1.0 39.73505081914985 72.71711188708267 6044.0 33778.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
62 1.0 236.2786522074984 7.885071013918747 6084.0 33845.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
63 1.0 49.74586248550097 -7.755944103762147 6153.0 34251.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.461 1 FRM 1.0 0
64 1.0 70.76965020481926 68.76745384138013 6096.0 33983.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
65 1.0 132.74106143794708 -7.451286881654539 6087.0 34017.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
66 1.0 295.55756274525663 40.350174590077785 6088.0 33998.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.46 1 FRM 1.0 0
67 1.0 34.956459285502056 -18.17544209344163 6046.0 33783.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.459 1 FRM 1.0 0
68 1.0 301.6601666995694 72.7279907221724 6136.0 34168.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.461 1 FRM 1.0 0
69 1.0 34.59542684182671 34.20450363442093 6122.0 34182.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.8386460444516607 0.20183912223214714 129.88632506801548 0.461 1 FRM 1.0 0
