idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 0.892304173518007 0.41572872159294394 0.18288340374965065 0.008681563220369339 -0.0008469892736207633 0.00217407816868377 8451504.0 23281230.0 45036010.0 70376665.0 95903445.0 119214643.0 139024515.0 154897342.0 166928337.0 175492258.0 181077603.0 184189476.0 185298911.0 184820658.0 183107123.0 180450698.0
1 1.0 257.468171894071 49.328519885754986 0.892304173518007 0.41572872159294394 0.18288340374965065 0.008681563220369339 -0.0008469892736207633 0.00217407816868377 8801683.0 23816728.0 45500487.0 70469193.0 95403656.0 118019477.0 137130615.0 152366672.0 163856636.0 171986426.0 177241816.0 180117844.0 181072419.0 180506651.0 178760144.0 176113956.0
2 1.0 216.99481538579178 -30.033872634844457 0.892304173518007 0.41572872159294394 0.18288340374965065 0.008681563220369339 -0.0008469892736207633 0.00217407816868377 34375224.0 73462928.0 118580538.0 161971330.0 199076145.0 228185792.0 249351741.0 263480170.0 271770175.0 275419246.0 275492902.0 272883100.0 268309744.00000003 262340260.0 255414525.0 247869248.0
3 1.0 196.15794587888288 -75.40174980216058 0.892304173518007 0.41572872159294394 0.18288340374965065 0.008681563220369339 -0.0008469892736207633 0.00217407816868377 15445494.0 39156097.0 71126309.0 105821746.0 138660437.0 166955044.0 189638510.0 206687541.0 218629649.0 226216069.0 230234358.0 231414461.0 230390197.0 227690722.0 223746647.0 218902214.0
4 1.0 152.5157277620057 -16.69658914551468 0.892304173518007 0.41572872159294394 0.18288340374965065 0.008681563220369339 -0.0008469892736207633 0.00217407816868377 23258455.0 55147224.0 95574159.0 137334328.0 175206643.0 206548732.0 230638405.0 247862906.0 259119425.99999997 265454292.0 267875333.0 267269880.0 264380519.0 259809315.00000003 254034122.0 247428436.0
5 1.0 232.5218807039962 -48.19785440923031 0.892304173518007 0.41572872159294394 0.18288340374965065 0.008681563220369339 -0.0008469892736207633 0.00217407816868377 22214065.0 51384580.0 87766906.0 125034651.0 158723455.0 186615397.0 208127775.0 223613255.0 233852476.0 239750787.0 242180615.0 241912229.0 239592866.0 235749832.0 230803921.0 225085984.0
6 1.0 157.5313960545693 -66.15222574356306 0.892304173518007 0.41572872159294394 0.18288340374965065 0.008681563220369339 -0.0008469892736207633 0.00217407816868377 16296022.0 41125229.0 74431075.0 110402924.0 144290768.0 173348976.0 196521210.0 213826547.0 225843236.0 233370005.0 237234202.0 238197080.0 236916110.0 233937797.0 229705167.0 224571140.0
7 1.0 321.03828028154874 -80.38310727837145 0.892304173518007 0.41572872159294394 0.18288340374965065 0.008681563220369339 -0.0008469892736207633 0.00217407816868377 11981765.0 31676212.0 59299866.0 90242863.0 120332525.0 146908671.0 168747554.0 185617891.0 197852559.0 206044411.0 210861492.0 212947797.0 212877502.0 211139661.0 208138823.0 204203024.0
8 1.0 346.91859378037054 40.60698555790418 0.892304173518007 0.41572872159294394 0.18288340374965065 0.008681563220369339 -0.0008469892736207633 0.00217407816868377 24639811.0 57046691.0 97415844.0 138652913.0 175774073.0 206332614.0 229720417.0 246372772.0 257194597.0 263219766.0 265435932.99999997 264709180.0 261762827.00000003 257182736.99999997 251433728.0 244879100.0
9 1.0 138.03894677727996 -87.94305744749441 0.892304173518007 0.41572872159294394 0.18288340374965065 0.008681563220369339 -0.0008469892736207633 0.00217407816868377 12512956.0 32904348.0 61356009.0 93085804.0 123818127.0 150858561.0 172991581.0 190013152.0 202288053.0 210438667.0 215157579.0 217107966.0 216878408.0 214968461.0 211790149.0 207676698.0
