idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 2338971.0 7519964.0 16399099.0 28174245.0 41442310.0 54847108.0 67385117.0 78452519.0 87773585.0 95300580.0 101125288.0 105413532.0 108361574.0 110169405.0 111025787.0 111100900.0
1 1.0 257.468171894071 49.328519885754986 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 2301738.0 7727958.0 17307017.0 30241976.0 44977224.0 59959213.0 74018319.0 86441918.0 96899254.0 105327170.0 111826927.0 116587200.0 119832652.0 121792450.0 122682682.0 122697785.0
2 1.0 216.99481538579178 -30.033872634844457 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 1449958.0 5264290.0 12418301.0 22523905.0 34457730.0 46967379.0 59032240.0 69974099.0 79428289.0 87265403.0 93510967.0 98280940.0 101736035.0 104052054.0 105402071.0 105946707.0
3 1.0 196.15794587888288 -75.40174980216058 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 1122970.0 4393208.0 10870974.0 20371034.0 31897564.0 44229708.0 56316926.0 67427068.0 77140949.0 85284420.0 91850504.0 96933673.0 100681737.0 103263734.0 104850087.0 105601366.0
4 1.0 152.5157277620057 -16.69658914551468 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 117003.0 453056.0 1142007.0 2206144.0 3577694.0 5144115.0 6788856.0 8414148.0 9948713.0 11346804.0 12583596.0 13649808.0 14546857.0 15283007.0 15870503.0 16323556.0
5 1.0 232.5218807039962 -48.19785440923031 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 1219852.0 4707256.0 11538072.0 21470634.0 33439475.0 46170972.0 58586045.0 69943695.0 79828247.0 88075274.0 94689657.0 99777563.0 103497226.0 106026448.0 107542745.0 108212271.0
6 1.0 157.5313960545693 -66.15222574356306 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 994898.0 3883094.0 9613024.0 18046396.0 28327275.0 39387184.0 50293315.0 60384471.0 69272183.0 76784973.0 82901839.0 87694992.0 91287265.0 93823242.0 95451096.0 96312042.0
7 1.0 321.03828028154874 -80.38310727837145 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 946496.0 3691862.0 9143109.0 17179024.0 26994814.0 37577722.0 48037972.0 57740314.0 66307612.00000001 73569600.0 79500530.0 84164952.0 87677099.0 90173139.0 91793587.0 92672990.0
8 1.0 346.91859378037054 40.60698555790418 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 1517612.0 4760014.0 10266211.0 17574955.0 25866757.0 34332850.0 42356931.0 49551166.0 55721669.0 60814060.0 64862989.0 67953396.0 70193797.0 71699260.0 72581377.0 72942910.0
9 1.0 138.03894677727996 -87.94305744749441 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 1105022.0 4316480.0 10674528.0 20000064.0 31320477.0 43441194.0 55332282.0 66274041.99999999 75852601.0 83894146.0 90389094.0 95427899.0 99153930.0 101731935.0 103328481.0 104100825.0
10 1.0 285.02101370975925 48.70453473049972 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 1804465.0 6054478.0 13596580.0 23864551.0 35678404.0 47824610.0 59362352.0 69695218.0 78524344.0 85765817.0 91472571.0 95774197.0 98835540.0 100830524.0 101926887.0 102278201.0
11 1.0 190.40217111104562 -63.549603827932486 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 1108826.0 4286781.0 10534641.0 19659451.0 30707528.0 42519002.0 54098165.0 64750943.00000001 74078909.0 81915120.0 88250832.0 93173631.0 96822083.0 99355384.0 100934542.0 101711643.0
12 1.0 204.49604199381562 -75.68602513438397 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 1135308.0 4434100.0 10960597.0 20524045.0 32120067.0 44520166.0 56668634.0 67830620.0 77586083.0 85761186.0 92349895.0 97447897.0 101204262.0 103789219.0 105374253.0 106120847.0
13 1.0 333.214789785358 -73.87145383705104 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 826816.0 3216870.0 7969460.0 14998908.0 23623243.0 32969217.999999996 42259524.0 50930862.0 58641309.0 65228890.00000001 70659143.0 74978700.0 78280034.0 80677048.0 82289371.0 83232937.0
14 1.0 25.5729809512393 30.968605323704594 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 2286346.0 7252539.0 15698825.0 26858812.0 39415665.0 52100377.0 63973027.0 74466022.0 83318013.0 90481241.0 96039323.0 100146139.0 102984933.0 104743126.0 105598099.0 105710131.0
15 1.0 31.366547892554657 -45.83390222648794 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 1196207.0 4292474.0 10091374.0 18312813.0 28083814.0 38408303.0 48456193.0 57660022.0 65700237.0 72448128.0 77904189.0 82147109.0 85296685.0 87489084.0 88861511.0 89543464.0
16 1.0 7.278623078517259 -14.302895997582283 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 869052.0 2650282.0 5640614.0 9609917.0 14145007.0 18829742.0 23336890.0 27450136.0 31050798.0 34093226.0 36580728.0 38546293.0 40038726.0 41113370.0 41826281.0 42230825.0
17 1.0 299.74314439725765 10.326382438305046 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 237831.0 883907.0 2162627.0 4086354.0 6515509.0 9242965.0 12063350.0 14809515.0 17363377.0 19652563.0 21641352.0 23320671.0 24699300.0 25796979.0 26639369.0 27254582.0
18 1.0 280.13643034194615 64.89921128918289 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 2402064.0 7946140.0 17627388.0 30604170.0 45309351.0 60201796.0 74133325.0 86412030.0 96723078.0 105013820.0 111391467.0 116047324.0 119206495.0 121097272.0 121934162.0 121909717.0
19 1.0 313.2043733688549 40.8679672880391 0.898884803730308 -0.34049675551118164 -0.14880307294679862 -0.0056088348985464396 0.007165522403904933 0.0011122615605697363 1166705.0 3828081.0 8515784.0 14910589.0 22325877.0 30038985.0 37472269.0 44242410.0 50140288.0 55087429.0 59092421.0 62215913.0 64545565.99999999 66179464.99999999 67215886.0 67747461.0
